"pris","vej","vejnr","postnr","by","kvmpris","størrelse","mdudg","grund","værelser","liggetid","opført"
"5.995.000 kr.",NA,NA,NA,NA,"99.306","246","17.941","1.779","6","1 dag","1907"
"1.495.000 kr.","haabets-vej","10","2750","ballerup","41.609","264","5.152","9.316","6","1 dag","2013"
"1.095.000 kr.","kongstedparken","23","4200","slagelse","21.179","153","2.943","825","5","1 dag","2001"
"1.795.000 kr.","kaerloebervej","9","9270","klarup","10.930","159","2.523","933","5","1 dag","1968"
"2.500.000 kr.","kingosvej","19","6800","varde","9.072","152","2.594","832","5","1 dag","1962"
"1.195.000 kr.","damgaardsvej","27","5700","svendborg","17.831","161","2.715","1.024","5","1 dag","1979"
"2.195.000 kr.","hans-atkesvej","5","3550","slangerup","25.050","208","4.229","802","6","1 dag","2012"
"4.295.000 kr.","egeskov-bygade","17","7000","fredericia","8.301","146","2.206","764","5","1 dag","1966"
"3.495.000 kr.",NA,NA,NA,NA,"18.776","94","2.133","537","3","1 dag","1918"
"985.000 kr.","groenhoejvej","16","8450","hammel","11.324","181","2.693","1.117","5","1 dag","1870"
"1.095.000 kr.","sandfeldparken","95","6933","kibaek","5.719","131","1.786","1.129","5","1 dag","1974"
"26.500.000 kr.","aadalen","29","5863","ferritslev","8.826","125","1.825","791","3","1 dag","1974"
"6.500.000 kr.","kirkestien","4","3630","jaegerspris","16.877","172","3.187","812","5","1 dag","1972"
"1.095.000 kr.","himmelbjergvej","121","8600","silkeborg","24.437","133","3.189","848","4","1 dag","1952"
"4.795.000 kr.","frejasvej","9","9870","sindal","5.948","271","2.589","1.251","8","1 dag","1973"
"2.595.000 kr.","mads-kjaers-vej","5","7620","lemvig","7.888","111","1.564","591","5","1 dag","1955"
"995.000 kr.",NA,NA,NA,NA,"64.069","143","3.454","829","6","1 dag","1880"
"4.495.000 kr.","fredensvej","16","7900","nykoebing","10.681","161","1.857","1.089","6","1 dag","1948"
"1.195.000 kr.","kloevervang","1","2970","hoersholm","34.980","200","6.615","800","6","1 dag","1971"
"1.595.000 kr.","thors-ager","42","6000","kolding","25.151","166","4.688","1.028","5","1 dag","2020"
"1.598.000 kr.",NA,NA,NA,NA,"67.530","176","5.863","2.524","6","1 dag","2000"
"495.000 kr.","munkholmvej","3","8870","langaa","7.960","214","2.678","894","6","1 dag","1968"
"995.000 kr.","tisetvej","116","8340","malling","35.790","166","3.705","32.722","5","1 dag","1900"
"9.850.000 kr.",NA,NA,NA,NA,"24.965","144","3.838","576","5","1 dag","1987"
"2.795.000 kr.","lavendelvej","42","6000","kolding","21.565","181","3.016","715","6","1 dag","2000"
"3.150.000 kr.","himmelev-skovvej","27","4000","roskilde","44.354","131","3.881","240","5","1 dag","2018"
"1.475.000 kr.","ingolfs-alle","34","2300","koebenhavn","45.284","192","6.843","529","7","1 dag","1960"
"2.895.000 kr.","oestergade","75","5610","assens","5.806","210","2.027","469","6","1 dag","1827"
"1.095.000 kr.","vejskillingen","28","6950","ringkoebing","15.751","159","2.525","823","6","1 dag","1964"
"1.598.000 kr.",NA,NA,NA,NA,"10.000","143","2.320","667","4","1 dag","1968"
"2.595.000 kr.","groendalsvej","208","8260","viby","19.065","154","2.884","255","5","1 dag","1973"
"195.000 kr.",NA,NA,NA,NA,"24.965","144","3.838","576","5","1 dag","1987"
"380.000 kr.","lavendelvej","42","6000","kolding","21.565","181","3.016","715","6","1 dag","2000"
"795.000 kr.","himmelev-skovvej","27","4000","roskilde","44.354","131","3.881","240","5","1 dag","2018"
"998.000 kr.","ingolfs-alle","34","2300","koebenhavn","45.284","192","6.843","529","7","1 dag","1960"
"1.698.000 kr.","oestergade","75","5610","assens","5.806","210","2.027","469","6","1 dag","1827"
"1.498.000 kr.","vejskillingen","28","6950","ringkoebing","15.751","159","2.525","823","6","1 dag","1964"
"1.995.000 kr.",NA,NA,NA,NA,"10.000","143","2.320","667","4","1 dag","1968"
"4.195.000 kr.","groendalsvej","208","8260","viby","19.065","154","2.884","255","5","1 dag","1973"
"3.195.000 kr.","boegevej","17","6800","varde","13.380","125","2.434","646","4","1 dag","1939"
"3.235.000 kr.","vestergade","41","6870","oelgod","7.745","305","1.708","1.069","8","1 dag","1905"
"1.350.000 kr.","bragesvej","4","9800","hjoerring","10.755","157","2.554","900","5","1 dag","1967"
"6.995.000 kr.","pilevang","5","4534","hoerve","12.250","147","2.344","814","5","1 dag","1974"
"2.295.000 kr.","krobaekvej","4","2670","greve","30.867","159","3.930","1.201","5","1 dag","1958"
"1.465.000 kr.","maagevej","5","5600","faaborg","8.704","345","2.801","1.605","7","1 dag","1923"
"1.195.000 kr.","sportsvej","3","9000","aalborg","23.265","76","2.282","632","3","1 dag","1959"
"1.445.000 kr.","korsholmvej","87","9690","fjerritslev","22.500","10","1.105","825","3","1 dag","1930"
"995.000 kr.","poppelvaenget","3","5500","middelfart","15.121","158","2.217","726","4","1 dag","1972"
"1.545.000 kr.","bulowsvej","4","4660","store","9.409","180","2.482","797","7","1 dag","1965"
"2.495.000 kr.","snebaervej","40","3230","graested","17.067","108","2.252","167","3","1 dag","1980"
